dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,vgg16,1,0.05649999901652336,0.5876477963832117
CIFAR-100,vgg16,2,0.09080000221729279,1.0844166995759061
CIFAR-100,vgg16,3,0.14720000326633453,1.5842867936963956
CIFAR-100,vgg16,4,0.17710000276565552,2.0811943848071817
CIFAR-100,vgg16,5,0.22089999914169312,2.5780117901647155
CIFAR-100,vgg16,6,0.2493000030517578,3.0721790798944717
CIFAR-100,vgg16,7,0.2791999876499176,3.5696392435449176
CIFAR-100,vgg16,8,0.32179999351501465,4.065335350468338
CIFAR-100,vgg16,9,0.3587000072002411,4.5625789051244015
CIFAR-100,vgg16,10,0.3546999990940094,5.060498250781791
CIFAR-100,vgg16,11,0.37549999356269836,5.556728587640254
CIFAR-100,vgg16,12,0.38510000705718994,6.054184375483943
CIFAR-100,vgg16,13,0.3831000030040741,6.5515079500896505
CIFAR-100,vgg16,14,0.3716000020503998,7.0487881119125575
CIFAR-100,vgg16,15,0.3937999904155731,7.547442024839615
CIFAR-100,vgg16,16,0.38100001215934753,8.04709834241605
CIFAR-100,vgg16,17,0.38359999656677246,8.547282620962118
CIFAR-100,vgg16,18,0.3869999945163727,9.047206329401813
CIFAR-100,vgg16,19,0.376800000667572,9.542972692026908
CIFAR-100,vgg16,20,0.38040000200271606,10.038431050486063
CIFAR-100,vgg16,21,0.3808000087738037,10.769803643474232
CIFAR-100,vgg16,22,0.39149999618530273,11.269013890463766
CIFAR-100,vgg16,23,0.39079999923706055,11.768414358638175
CIFAR-100,vgg16,24,0.38769999146461487,12.268502188787672
CIFAR-100,vgg16,25,0.3849000036716461,12.767503899834209
CIFAR-100,vgg16,26,0.38499999046325684,13.266188954584496
CIFAR-100,vgg16,27,0.39010000228881836,13.998502024482764
CIFAR-100,vgg16,28,0.3937000036239624,14.503175826704757
CIFAR-100,vgg16,29,0.39820000529289246,15.006158660743623
CIFAR-100,vgg16,30,0.38510000705718994,15.505960281175698
CIFAR-100,vgg16,31,0.3921999931335449,16.004478990227756
CIFAR-100,vgg16,32,0.39239999651908875,16.504163911806938
CIFAR-100,vgg16,33,0.39500001072883606,17.00624849146921
CIFAR-100,vgg16,34,0.38920000195503235,17.525760660104204
CIFAR-100,vgg16,35,0.38960000872612,18.02654274774577
CIFAR-100,vgg16,36,0.39500001072883606,18.54472293768437
CIFAR-100,vgg16,37,0.3977000117301941,19.0450457969636
CIFAR-100,vgg16,38,0.39070001244544983,19.5466470070279
CIFAR-100,vgg16,39,0.3955000042915344,20.050321351132606
CIFAR-100,vgg16,40,0.3952000141143799,20.55197842579997
CIFAR-100,vgg16,41,0.39980000257492065,21.051119140831723
CIFAR-100,vgg16,42,0.40299999713897705,21.55065507240361
CIFAR-100,vgg16,43,0.4000000059604645,22.04936281887479
CIFAR-100,vgg16,44,0.40700000524520874,22.551001563120398
CIFAR-100,vgg16,45,0.4000000059604645,23.053264313669843
CIFAR-100,vgg16,46,0.39910000562667847,23.556940516537434
CIFAR-100,vgg16,47,0.4007999897003174,24.05840387781685
CIFAR-100,vgg16,48,0.3970000147819519,24.788770170893642
CIFAR-100,vgg16,49,0.39980000257492065,25.29196322073425
CIFAR-100,vgg16,50,0.3930000066757202,25.792620451572184
